"step","run-rank0-clicks - _step","run-rank0-clicks - _step__MIN","run-rank0-clicks - _step__MAX","run-rank0-clicks - Click loss","run-rank0-clicks - Click loss__MIN","run-rank0-clicks - Click loss__MAX"
"847","4231","4231","4231","0.1664605736732483","0.1664605736732483","0.1664605736732483"
"852","4256","4256","4256","0.4114481806755066","0.4114481806755066","0.4114481806755066"
"853","4261","4261","4261","0.27017563581466675","0.27017563581466675","0.27017563581466675"
"889","4441","4441","4441","0.2901138663291931","0.2901138663291931","0.2901138663291931"
"910","4546","4546","4546","0.21932831406593323","0.21932831406593323","0.21932831406593323"
"935","4671","4671","4671","0.37182027101516724","0.37182027101516724","0.37182027101516724"
"940","4696","4696","4696","0.3602595329284668","0.3602595329284668","0.3602595329284668"
"957","4781","4781","4781","0.3149677515029907","0.3149677515029907","0.3149677515029907"
"965","4821","4821","4821","0.2659553289413452","0.2659553289413452","0.2659553289413452"
"976","4876","4876","4876","0.20766662061214447","0.20766662061214447","0.20766662061214447"
"997","4981","4981","4981","0.24543797969818115","0.24543797969818115","0.24543797969818115"
"998","4986","4986","4986","0.23531198501586914","0.23531198501586914","0.23531198501586914"
"1014","5066","5066","5066","0.26647448539733887","0.26647448539733887","0.26647448539733887"
"1016","5076","5076","5076","0.31108856201171875","0.31108856201171875","0.31108856201171875"
"1037","5181","5181","5181","0.20614692568778992","0.20614692568778992","0.20614692568778992"
"1068","5336","5336","5336","0.19066667556762695","0.19066667556762695","0.19066667556762695"
"1073","5361","5361","5361","0.25557032227516174","0.25557032227516174","0.25557032227516174"
"1078","5386","5386","5386","0.2857230305671692","0.2857230305671692","0.2857230305671692"
"1105","5521","5521","5521","0.2100495994091034","0.2100495994091034","0.2100495994091034"
"1117","5581","5581","5581","0.2705586552619934","0.2705586552619934","0.2705586552619934"
"1120","5596","5596","5596","0.14777854084968567","0.14777854084968567","0.14777854084968567"
"1129","5641","5641","5641","0.1513398140668869","0.1513398140668869","0.1513398140668869"
"1158","5786","5786","5786","0.2514735460281372","0.2514735460281372","0.2514735460281372"
"1160","5796","5796","5796","0.17024759948253632","0.17024759948253632","0.17024759948253632"
"1161","5801","5801","5801","0.21220599114894867","0.21220599114894867","0.21220599114894867"
"1171","5851","5851","5851","0.22455042600631714","0.22455042600631714","0.22455042600631714"
"1172","5856","5856","5856","0.2218298316001892","0.2218298316001892","0.2218298316001892"
"1176","5876","5876","5876","0.14490282535552979","0.14490282535552979","0.14490282535552979"
"1177","5881","5881","5881","0.36741161346435547","0.36741161346435547","0.36741161346435547"
"1195","5971","5971","5971","0.19476279616355896","0.19476279616355896","0.19476279616355896"
"1200","5996","5996","5996","0.346153199672699","0.346153199672699","0.346153199672699"
"1204","6016","6016","6016","0.13987073302268982","0.13987073302268982","0.13987073302268982"
"1223","6111","6111","6111","0.17205402255058289","0.17205402255058289","0.17205402255058289"
"1239","6191","6191","6191","0.2050967961549759","0.2050967961549759","0.2050967961549759"
"1245","6221","6221","6221","0.26123595237731934","0.26123595237731934","0.26123595237731934"
"1262","6306","6306","6306","0.16564489901065826","0.16564489901065826","0.16564489901065826"
"1287","6431","6431","6431","0.12612539529800415","0.12612539529800415","0.12612539529800415"
"1311","6551","6551","6551","0.36726558208465576","0.36726558208465576","0.36726558208465576"
"1323","6611","6611","6611","0.16090884804725647","0.16090884804725647","0.16090884804725647"
"1340","6696","6696","6696","0.06453292816877365","0.06453292816877365","0.06453292816877365"
"1350","6746","6746","6746","0.21335265040397644","0.21335265040397644","0.21335265040397644"
"1353","6761","6761","6761","0.23926208913326263","0.23926208913326263","0.23926208913326263"
"1386","6926","6926","6926","0.27746278047561646","0.27746278047561646","0.27746278047561646"
"1392","6956","6956","6956","0.3979954719543457","0.3979954719543457","0.3979954719543457"
"1400","6996","6996","6996","0.2021341621875763","0.2021341621875763","0.2021341621875763"
"1405","7021","7021","7021","0.35458919405937195","0.35458919405937195","0.35458919405937195"
"1409","7041","7041","7041","0.2724054455757141","0.2724054455757141","0.2724054455757141"
"1418","7086","7086","7086","0.3231790065765381","0.3231790065765381","0.3231790065765381"
"1421","7101","7101","7101","0.3113545775413513","0.3113545775413513","0.3113545775413513"
"1422","7106","7106","7106","0.3441624641418457","0.3441624641418457","0.3441624641418457"
"1431","7151","7151","7151","0.3147846758365631","0.3147846758365631","0.3147846758365631"
"1486","7426","7426","7426","0.284104585647583","0.284104585647583","0.284104585647583"
"1491","7451","7451","7451","0.23577462136745453","0.23577462136745453","0.23577462136745453"
"1494","7466","7466","7466","0.16812555491924286","0.16812555491924286","0.16812555491924286"
"1507","7531","7531","7531","0.12052492797374725","0.12052492797374725","0.12052492797374725"
"1512","7556","7556","7556","0.31983470916748047","0.31983470916748047","0.31983470916748047"
"1515","7571","7571","7571","0.3258814811706543","0.3258814811706543","0.3258814811706543"
"1517","7581","7581","7581","0.1845334768295288","0.1845334768295288","0.1845334768295288"
"1535","7671","7671","7671","0.32479023933410645","0.32479023933410645","0.32479023933410645"
"1544","7716","7716","7716","0.25955480337142944","0.25955480337142944","0.25955480337142944"
"1558","7786","7786","7786","0.20051032304763794","0.20051032304763794","0.20051032304763794"
"1570","7846","7846","7846","0.21966595947742462","0.21966595947742462","0.21966595947742462"
"1580","7896","7896","7896","0.2311304658651352","0.2311304658651352","0.2311304658651352"
"1595","7971","7971","7971","0.554162859916687","0.554162859916687","0.554162859916687"
"1597","7981","7981","7981","0.188502237200737","0.188502237200737","0.188502237200737"
"1604","8016","8016","8016","0.28407520055770874","0.28407520055770874","0.28407520055770874"
"1609","8041","8041","8041","0.2045101821422577","0.2045101821422577","0.2045101821422577"
"1624","8116","8116","8116","0.22279313206672668","0.22279313206672668","0.22279313206672668"
"1626","8126","8126","8126","0.23768627643585205","0.23768627643585205","0.23768627643585205"
"1655","8271","8271","8271","0.242826446890831","0.242826446890831","0.242826446890831"
"1658","8286","8286","8286","0.1533544957637787","0.1533544957637787","0.1533544957637787"
"1678","8386","8386","8386","0.2149387001991272","0.2149387001991272","0.2149387001991272"
"1697","8481","8481","8481","0.2246403992176056","0.2246403992176056","0.2246403992176056"
"1707","8531","8531","8531","0.22769896686077118","0.22769896686077118","0.22769896686077118"
"1715","8571","8571","8571","0.23026017844676971","0.23026017844676971","0.23026017844676971"
"1721","8601","8601","8601","0.15188883244991302","0.15188883244991302","0.15188883244991302"
"1724","8616","8616","8616","0.18215540051460266","0.18215540051460266","0.18215540051460266"
"1734","8666","8666","8666","0.2615082263946533","0.2615082263946533","0.2615082263946533"
"1762","8806","8806","8806","0.2166908085346222","0.2166908085346222","0.2166908085346222"
"1766","8826","8826","8826","0.3109270930290222","0.3109270930290222","0.3109270930290222"
"1788","8936","8936","8936","0.3026782274246216","0.3026782274246216","0.3026782274246216"
"1795","8971","8971","8971","0.37171250581741333","0.37171250581741333","0.37171250581741333"
"1803","9011","9011","9011","0.28055357933044434","0.28055357933044434","0.28055357933044434"
"1814","9066","9066","9066","0.23192040622234344","0.23192040622234344","0.23192040622234344"
"1831","9151","9151","9151","0.4221690893173218","0.4221690893173218","0.4221690893173218"
"1833","9161","9161","9161","0.22749903798103333","0.22749903798103333","0.22749903798103333"
"1837","9181","9181","9181","0.4115253686904907","0.4115253686904907","0.4115253686904907"
"1840","9196","9196","9196","0.23487460613250732","0.23487460613250732","0.23487460613250732"
