"step","run-rank0-clicks - _step","run-rank0-clicks - _step__MIN","run-rank0-clicks - _step__MAX","run-rank0-clicks - Total loss","run-rank0-clicks - Total loss__MIN","run-rank0-clicks - Total loss__MAX"
"679","3390","3390","3390","5.862566947937012","5.862566947937012","5.862566947937012"
"689","3440","3440","3440","6.367016315460205","6.367016315460205","6.367016315460205"
"697","3480","3480","3480","6.493193626403809","6.493193626403809","6.493193626403809"
"704","3515","3515","3515","6.311359405517578","6.311359405517578","6.311359405517578"
"706","3525","3525","3525","5.62498664855957","5.62498664855957","5.62498664855957"
"715","3570","3570","3570","6.492614269256592","6.492614269256592","6.492614269256592"
"727","3630","3630","3630","6.208049297332764","6.208049297332764","6.208049297332764"
"731","3650","3650","3650","5.999236106872559","5.999236106872559","5.999236106872559"
"742","3705","3705","3705","5.82636022567749","5.82636022567749","5.82636022567749"
"743","3710","3710","3710","6.476996421813965","6.476996421813965","6.476996421813965"
"754","3765","3765","3765","6.463186740875244","6.463186740875244","6.463186740875244"
"766","3825","3825","3825","6.2787981033325195","6.2787981033325195","6.2787981033325195"
"784","3915","3915","3915","5.621729850769043","5.621729850769043","5.621729850769043"
"796","3975","3975","3975","6.2291412353515625","6.2291412353515625","6.2291412353515625"
"799","3990","3990","3990","6.203494548797607","6.203494548797607","6.203494548797607"
"829","4140","4140","4140","5.540831565856934","5.540831565856934","5.540831565856934"
"841","4200","4200","4200","6.290626049041748","6.290626049041748","6.290626049041748"
"853","4260","4260","4260","6.258893966674805","6.258893966674805","6.258893966674805"
"863","4310","4310","4310","6.03341007232666","6.03341007232666","6.03341007232666"
"864","4315","4315","4315","5.467864513397217","5.467864513397217","5.467864513397217"
"873","4360","4360","4360","6.082995414733887","6.082995414733887","6.082995414733887"
"880","4395","4395","4395","6.2696075439453125","6.2696075439453125","6.2696075439453125"
"894","4465","4465","4465","5.964911460876465","5.964911460876465","5.964911460876465"
"903","4510","4510","4510","6.101881504058838","6.101881504058838","6.101881504058838"
"911","4550","4550","4550","6.08974027633667","6.08974027633667","6.08974027633667"
"925","4620","4620","4620","6.570633888244629","6.570633888244629","6.570633888244629"
"932","4655","4655","4655","5.547269821166992","5.547269821166992","5.547269821166992"
