"step","run-rank0-clicks - _step","run-rank0-clicks - _step__MIN","run-rank0-clicks - _step__MAX","run-rank0-clicks - MLM loss","run-rank0-clicks - MLM loss__MIN","run-rank0-clicks - MLM loss__MAX"
"1767","8834","8834","8834","5.46880578994751","5.46880578994751","5.46880578994751"
"1769","8844","8844","8844","5.287578105926514","5.287578105926514","5.287578105926514"
"1772","8859","8859","8859","4.788717269897461","4.788717269897461","4.788717269897461"
"1775","8874","8874","8874","5.04492712020874","5.04492712020874","5.04492712020874"
"1793","8964","8964","8964","4.5107808113098145","4.5107808113098145","4.5107808113098145"
"1804","9019","9019","9019","4.90362024307251","4.90362024307251","4.90362024307251"
"1808","9039","9039","9039","5.275983810424805","5.275983810424805","5.275983810424805"
"1829","9144","9144","9144","5.682205677032471","5.682205677032471","5.682205677032471"
"1854","9269","9269","9269","4.973263263702393","4.973263263702393","4.973263263702393"
"1863","9314","9314","9314","5.175448417663574","5.175448417663574","5.175448417663574"
"1869","9344","9344","9344","5.237922191619873","5.237922191619873","5.237922191619873"
"1873","9364","9364","9364","5.3249077796936035","5.3249077796936035","5.3249077796936035"
"1875","9374","9374","9374","5.299602031707764","5.299602031707764","5.299602031707764"
"1896","9479","9479","9479","5.332964897155762","5.332964897155762","5.332964897155762"
"1898","9489","9489","9489","5.186776638031006","5.186776638031006","5.186776638031006"
"1905","9524","9524","9524","5.05825138092041","5.05825138092041","5.05825138092041"
"1908","9539","9539","9539","4.700757026672363","4.700757026672363","4.700757026672363"
"1916","9579","9579","9579","5.461301326751709","5.461301326751709","5.461301326751709"
"1994","9969","9969","9969","4.891019344329834","4.891019344329834","4.891019344329834"
"2009","10044","10044","10044","5.188780307769775","5.188780307769775","5.188780307769775"
"2011","10054","10054","10054","5.459354400634766","5.459354400634766","5.459354400634766"
"2018","10089","10089","10089","4.951168060302734","4.951168060302734","4.951168060302734"
"2037","10184","10184","10184","5.205868244171143","5.205868244171143","5.205868244171143"
"2044","10219","10219","10219","5.158761501312256","5.158761501312256","5.158761501312256"
"2047","10234","10234","10234","4.958521366119385","4.958521366119385","4.958521366119385"
"2054","10269","10269","10269","5.449348449707031","5.449348449707031","5.449348449707031"
"2076","10379","10379","10379","4.39226770401001","4.39226770401001","4.39226770401001"
"2088","10439","10439","10439","4.683727741241455","4.683727741241455","4.683727741241455"
"2095","10474","10474","10474","5.045635223388672","5.045635223388672","5.045635223388672"
"2101","10504","10504","10504","5.186135292053223","5.186135292053223","5.186135292053223"
"2109","10544","10544","10544","4.943114757537842","4.943114757537842","4.943114757537842"
"2110","10549","10549","10549","5.233542442321777","5.233542442321777","5.233542442321777"
"2129","10644","10644","10644","4.941070079803467","4.941070079803467","4.941070079803467"
"2145","10724","10724","10724","5.4515886306762695","5.4515886306762695","5.4515886306762695"
