"step","run-multi-task-without-debiasing - _step","run-multi-task-without-debiasing - _step__MIN","run-multi-task-without-debiasing - _step__MAX","run-multi-task-without-debiasing - MLM loss","run-multi-task-without-debiasing - MLM loss__MIN","run-multi-task-without-debiasing - MLM loss__MAX"
"3666","18329","18329","18329","4.238385200500488","4.238385200500488","4.238385200500488"
"3680","18399","18399","18399","4.223336696624756","4.223336696624756","4.223336696624756"
"3688","18439","18439","18439","4.687495231628418","4.687495231628418","4.687495231628418"
"3710","18549","18549","18549","5.1237874031066895","5.1237874031066895","5.1237874031066895"
"3711","18554","18554","18554","4.816301345825195","4.816301345825195","4.816301345825195"
"3714","18569","18569","18569","5.125832557678223","5.125832557678223","5.125832557678223"
"3734","18669","18669","18669","4.066254615783691","4.066254615783691","4.066254615783691"
"3746","18729","18729","18729","4.741909980773926","4.741909980773926","4.741909980773926"
"3748","18739","18739","18739","4.27836799621582","4.27836799621582","4.27836799621582"
"3755","18774","18774","18774","4.706597328186035","4.706597328186035","4.706597328186035"
"3765","18824","18824","18824","4.597012996673584","4.597012996673584","4.597012996673584"
"3775","18874","18874","18874","4.566433429718018","4.566433429718018","4.566433429718018"
"3807","19034","19034","19034","4.496514320373535","4.496514320373535","4.496514320373535"
"3812","19059","19059","19059","3.9454727172851562","3.9454727172851562","3.9454727172851562"
"3815","19074","19074","19074","5.037281513214111","5.037281513214111","5.037281513214111"
"3820","19099","19099","19099","4.9278459548950195","4.9278459548950195","4.9278459548950195"
"3829","19144","19144","19144","4.493798732757568","4.493798732757568","4.493798732757568"
"3845","19224","19224","19224","5.113090515136719","5.113090515136719","5.113090515136719"
"3849","19244","19244","19244","4.4126973152160645","4.4126973152160645","4.4126973152160645"
"3879","19394","19394","19394","4.715166091918945","4.715166091918945","4.715166091918945"
"3888","19439","19439","19439","4.667541027069092","4.667541027069092","4.667541027069092"
"3889","19444","19444","19444","4.1826171875","4.1826171875","4.1826171875"
"3903","19514","19514","19514","5.010885238647461","5.010885238647461","5.010885238647461"
"3926","19629","19629","19629","4.216224670410156","4.216224670410156","4.216224670410156"
"3938","19689","19689","19689","4.2271270751953125","4.2271270751953125","4.2271270751953125"
"3941","19704","19704","19704","4.865174293518066","4.865174293518066","4.865174293518066"
"3942","19709","19709","19709","4.822297096252441","4.822297096252441","4.822297096252441"
"3945","19724","19724","19724","3.7969107627868652","3.7969107627868652","3.7969107627868652"
"3947","19734","19734","19734","4.417566776275635","4.417566776275635","4.417566776275635"
"3957","19784","19784","19784","4.804506778717041","4.804506778717041","4.804506778717041"
"3974","19869","19869","19869","4.124394416809082","4.124394416809082","4.124394416809082"
"3987","19934","19934","19934","4.478102684020996","4.478102684020996","4.478102684020996"
"3989","19944","19944","19944","4.427440166473389","4.427440166473389","4.427440166473389"
"4016","20079","20079","20079","3.9408161640167236","3.9408161640167236","3.9408161640167236"
"4040","20199","20199","20199","4.959885597229004","4.959885597229004","4.959885597229004"
"4067","20334","20334","20334","4.487773418426514","4.487773418426514","4.487773418426514"
"4071","20354","20354","20354","4.190806865692139","4.190806865692139","4.190806865692139"
"4087","20434","20434","20434","4.9314141273498535","4.9314141273498535","4.9314141273498535"
"4103","20514","20514","20514","4.722320079803467","4.722320079803467","4.722320079803467"
"4108","20539","20539","20539","4.926339626312256","4.926339626312256","4.926339626312256"
"4113","20564","20564","20564","4.3935227394104","4.3935227394104","4.3935227394104"
"4122","20609","20609","20609","4.26535701751709","4.26535701751709","4.26535701751709"
"4131","20654","20654","20654","4.526988506317139","4.526988506317139","4.526988506317139"
"4144","20719","20719","20719","4.555700778961182","4.555700778961182","4.555700778961182"
"4173","20864","20864","20864","3.917250633239746","3.917250633239746","3.917250633239746"
"4187","20934","20934","20934","4.612895488739014","4.612895488739014","4.612895488739014"
"4203","21014","21014","21014","4.053072452545166","4.053072452545166","4.053072452545166"
"4208","21039","21039","21039","4.564610958099365","4.564610958099365","4.564610958099365"
"4209","21044","21044","21044","4.136927604675293","4.136927604675293","4.136927604675293"
"4216","21079","21079","21079","3.7715721130371094","3.7715721130371094","3.7715721130371094"
"4225","21124","21124","21124","4.41876220703125","4.41876220703125","4.41876220703125"
"4262","21309","21309","21309","4.725172519683838","4.725172519683838","4.725172519683838"
"4284","21419","21419","21419","4.714629173278809","4.714629173278809","4.714629173278809"
"4290","21449","21449","21449","4.219759941101074","4.219759941101074","4.219759941101074"
"4298","21489","21489","21489","4.260086536407471","4.260086536407471","4.260086536407471"
"4300","21499","21499","21499","4.895914077758789","4.895914077758789","4.895914077758789"
"4305","21524","21524","21524","4.604457855224609","4.604457855224609","4.604457855224609"
"4345","21724","21724","21724","4.428583145141602","4.428583145141602","4.428583145141602"
"4361","21804","21804","21804","4.434478759765625","4.434478759765625","4.434478759765625"
"4362","21809","21809","21809","4.41709041595459","4.41709041595459","4.41709041595459"
"4378","21889","21889","21889","4.77961540222168","4.77961540222168","4.77961540222168"
"4392","21959","21959","21959","4.154212951660156","4.154212951660156","4.154212951660156"
"4393","21964","21964","21964","4.462700843811035","4.462700843811035","4.462700843811035"
"4401","22004","22004","22004","3.945584297180176","3.945584297180176","3.945584297180176"
"4402","22009","22009","22009","3.9878766536712646","3.9878766536712646","3.9878766536712646"
"4412","22059","22059","22059","4.2789082527160645","4.2789082527160645","4.2789082527160645"
"4415","22074","22074","22074","4.454696178436279","4.454696178436279","4.454696178436279"
"4426","22129","22129","22129","4.346447467803955","4.346447467803955","4.346447467803955"
"4439","22194","22194","22194","4.319306373596191","4.319306373596191","4.319306373596191"
"4453","22264","22264","22264","3.8871922492980957","3.8871922492980957","3.8871922492980957"
"4458","22289","22289","22289","4.172413349151611","4.172413349151611","4.172413349151611"
"4510","22549","22549","22549","4.607222557067871","4.607222557067871","4.607222557067871"
"4511","22554","22554","22554","4.478763103485107","4.478763103485107","4.478763103485107"
"4518","22589","22589","22589","4.523967742919922","4.523967742919922","4.523967742919922"
"4522","22609","22609","22609","4.684627532958984","4.684627532958984","4.684627532958984"
